"iteration","session_user","scenario","go_mapi_pid","go_mapi_ws_mb","webview2_ws_mb","total_ws_mb","timestamp"
"1","ramtest1","cold-start","5068","37.11","27.88","64.99","2026-04-14T10:08:18.2206928+00:00"
"1","ramtest1","idle-pre-webview","5068","35.51","13.84","49.35","2026-04-14T10:13:14.1048279+00:00"
"1","ramtest1","idle-post-webview","5068","35.38","8.39","43.77","2026-04-14T10:18:14.6913063+00:00"
"1","ramtest1","idle-post-webview","8436","1.86","0","1.86","2026-04-14T10:18:14.7777835+00:00"
"2","ramtest1","cold-start","8640","4.76","28.6","33.36","2026-04-14T10:18:30.7876181+00:00"
"2","ramtest1","idle-pre-webview","8640","2.01","9.25","11.26","2026-04-14T10:23:26.0582205+00:00"
"2","ramtest1","idle-post-webview","8640","2.16","9.06","11.22","2026-04-14T10:28:26.3858692+00:00"
"2","ramtest1","idle-post-webview","6888","1.88","0","1.88","2026-04-14T10:28:26.4746036+00:00"
"1","ramtest2","cold-start","4768","4.86","26.62","31.48","2026-04-14T10:08:18.2525714+00:00"
"1","ramtest2","idle-pre-webview","4768","34.66","13","47.66","2026-04-14T10:13:14.1048279+00:00"
"1","ramtest2","idle-post-webview","4768","34.72","8.14","42.86","2026-04-14T10:18:14.7547983+00:00"
"1","ramtest2","idle-post-webview","8452","1.94","0","1.94","2026-04-14T10:18:14.8413778+00:00"
"1","ramtest3","cold-start","5064","4.9","26.51","31.41","2026-04-14T10:08:18.2580340+00:00"
"1","ramtest3","idle-pre-webview","5064","34.56","13.24","47.8","2026-04-14T10:13:14.0737985+00:00"
"1","ramtest3","idle-post-webview","5064","34.63","8.42","43.05","2026-04-14T10:18:14.6326467+00:00"
"1","ramtest3","idle-post-webview","8476","1.8","0","1.8","2026-04-14T10:18:14.7669507+00:00"
"2","ramtest3","cold-start","8320","4.84","28.53","33.37","2026-04-14T10:18:30.7713973+00:00"
"2","ramtest3","idle-pre-webview","8320","2.08","9.41","11.49","2026-04-14T10:23:26.0269017+00:00"
"2","ramtest3","idle-post-webview","8320","2.19","9.48","11.67","2026-04-14T10:28:26.3515716+00:00"
"2","ramtest3","idle-post-webview","7416","1.81","0","1.81","2026-04-14T10:28:26.4302565+00:00"
"1","ramtest4","cold-start","5036","4.8","27.3","32.1","2026-04-14T10:08:18.2294802+00:00"
"1","ramtest4","idle-pre-webview","5036","34.8","13.71","48.51","2026-04-14T10:13:14.0476275+00:00"
"1","ramtest4","idle-post-webview","5036","34.85","8.41","43.26","2026-04-14T10:18:14.6166190+00:00"
"1","ramtest4","idle-post-webview","8468","1.84","0","1.84","2026-04-14T10:18:14.7009963+00:00"
"2","ramtest4","cold-start","7888","4.81","28.89","33.7","2026-04-14T10:18:30.7401253+00:00"
"2","ramtest4","idle-pre-webview","7888","2.1","9.45","11.55","2026-04-14T10:23:26.0108287+00:00"
"2","ramtest4","idle-post-webview","7888","2.21","9.21","11.42","2026-04-14T10:28:26.3209311+00:00"
"2","ramtest4","idle-post-webview","1036","1.8","0","1.8","2026-04-14T10:28:26.3984826+00:00"
"3","ramtest4","cold-start","7708","4.69","28.6","33.29","2026-04-14T10:28:42.0409447+00:00"
"3","ramtest4","idle-pre-webview","7708","1.92","10.27","12.19","2026-04-14T10:33:37.2747876+00:00"
"3","ramtest4","idle-post-webview","7708","2.03","7.82","9.85","2026-04-14T10:38:37.5235081+00:00"
"3","ramtest4","idle-post-webview","8504","1.73","0","1.73","2026-04-14T10:38:37.5715022+00:00"
"1","ramtest5","idle-post-webview","7152","2.08","10.39","12.47","2026-04-14T10:18:11.4255771+00:00"
"2","ramtest5","cold-start","2672","4.93","28.66","33.59","2026-04-14T10:18:27.4740877+00:00"
"2","ramtest5","idle-pre-webview","2672","2.04","9.61","11.65","2026-04-14T10:23:23.0431655+00:00"
"2","ramtest5","idle-post-webview","2672","2.14","8.14","10.28","2026-04-14T10:28:24.3168001+00:00"
"3","ramtest5","cold-start","3536","4.93","28.51","33.44","2026-04-14T10:28:39.9409024+00:00"
"3","ramtest5","idle-pre-webview","3536","2.08","10.4","12.48","2026-04-14T10:33:35.5217980+00:00"
"3","ramtest5","idle-post-webview","3536","2.22","7.89","10.11","2026-04-14T10:38:36.1478742+00:00"
